,endTime,artistName,trackName,msPlayed
302,2023-11-10 20:30,Nekfeu,Voyage léger,202693
303,2023-11-10 20:32,Nekfeu,Interlude Fifty,91346
304,2023-11-10 20:34,Nekfeu,Compte les hommes,122627
305,2023-11-10 20:40,rjoseph,After School Sunset,150595
306,2023-11-12 13:17,Jane Color,Relaxing Brown Noise 256 Hz Smooth Q,179000
307,2023-11-12 13:20,Deepnoum,Private Jet Sleep,199000
308,2023-11-12 13:23,The BD Noise Maker,Focused By The Brown Noise,168000
309,2023-11-12 13:26,Focus Noise,Dreamy Brown Noise,183500
310,2023-11-12 13:29,Julia Sono,Nature Sounds & Brown Noise,159000
311,2023-11-12 13:31,Evolysium,Dozy Brown,175500
312,2023-11-12 13:35,Everywhere Brown Noise,Brown Noise Sleep,218000
313,2023-11-12 13:43,Bits & Noise,Brown Low Frequencies,141920
314,2023-11-12 13:45,Naturelle,Water Brown Noise,141000
315,2023-11-12 13:47,Audio Receptors,Brown Noise for a Better Sleep,144000
316,2023-11-12 13:49,Trap Of Sounds,Brown Noise Serenity,141920
317,2023-11-12 13:52,Breez Bing,Mother Nature Sings The Brown Noise,144000
318,2023-11-12 13:54,Ambient Eclipse,Ambient Brown 150 Hz Soft Q,182624
319,2023-11-13 08:08,Nekfeu,Compte les hommes,128217
320,2023-11-13 08:12,Nekfeu,Oui et non,185106
321,2023-11-13 08:15,Nekfeu,Koala mouillé,180840
322,2023-11-13 08:18,Nekfeu,Jeux vidéo et débats,194748
323,2023-11-13 08:20,aupinard,introdução,91498
324,2023-11-13 08:21,aupinard,c'est tout moi,89596
325,2023-11-13 08:24,aupinard,tous les jours,186215
326,2023-11-13 08:27,aupinard,texto,142429
327,2023-11-13 08:30,aupinard,sois en sûre,173286
328,2023-11-13 08:31,aupinard,jeu pour enfant,117217
329,2023-11-13 13:28,BBVB,Brown Noise Intelligence,84996
330,2023-11-13 13:31,Nemir,Sur ma vie,169259
331,2023-11-13 13:32,Nemir,Favela,34700
332,2023-11-13 13:34,Nemir,Des heures,152174
333,2023-11-13 13:37,Nemir,Habibi,179339
334,2023-11-13 13:40,Nemir,Rock N' Roll,190084
335,2023-11-13 13:43,Nemir,Sans mal,197130
336,2023-11-13 13:46,Nemir,Saint Jacques,174211
337,2023-11-13 13:50,Nemir,Loin devant,228101
338,2023-11-13 13:53,Nemir,DPLT,168663
339,2023-11-14 09:00,Nemir,Biomen,137160
340,2023-11-14 09:03,Nemir,Je plane,139924
341,2023-11-14 09:06,Nemir,Chica,181701
342,2023-11-14 09:12,Nemir,Elle m'a eu,311213
343,2023-11-14 09:13,Nemir,Chant sacré,109068
344,2023-11-14 09:19,Nemir,Elle m'a eu,311213
345,2023-11-14 09:24,Nemir,Chant sacré,327516
346,2023-11-14 09:27,Nekfeu,Natsukashii,191773
347,2023-11-14 09:30,Krisy,C'EST UN MOOD,156923
348,2023-11-14 09:33,Squeezie,Guépard,160120
