,endTime,artistName,trackName,msPlayed
8919,2023-11-23 17:03,Alice et Moi,Je n'ai rien à faire,63892
8920,2023-11-23 21:22,Alice et Moi,Je n'ai rien à faire,32749
8921,2023-11-23 21:25,ascendant vierge,Aimer sur le long terme,19389
8922,2023-11-23 21:25,Order89,Histoires Parallèles,1010
8923,2023-11-23 21:25,Yelle,Je veux te voir,1830
8924,2023-11-23 21:25,La Femme,Si un jour,158413
8925,2023-11-23 21:31,Order89,Histoires Parallèles,10020
8926,2023-11-23 21:31,Yelle,Je veux te voir,213820
8927,2023-11-23 21:32,Sexy Sushi,Petit PD,70750
8928,2023-11-23 21:36,Potochkine,Dans Ta Face,235925
8929,2023-11-23 21:36,Alice et Moi,C'est toi qu'elle préfère,24870
8930,2023-11-23 21:40,Vendredi sur Mer,Les filles désir,196813
8931,2023-11-23 21:44,Grand Soleil,Réalité,251759
8932,2023-11-23 21:48,Nils Handz,l'Homme Alone,236097
8933,2023-11-23 21:49,Sexy Sushi,Toutes Comme Moi,58838
8934,2023-11-23 21:52,ascendant vierge,Influenceur,211559
8935,2023-11-23 21:53,P.R2B,Le film à l'envers,28566
8936,2023-11-23 21:55,Bolivard,Bolivard News,112125
8937,2023-11-23 21:58,Potochkine,Dans Ta Face,235925
8938,2023-11-23 22:01,Sexy Sushi,J'aime mon pays - Fräulein Warrior Version,147015
8939,2023-11-23 22:02,Jacques,Ça se voit,58060
8940,2023-11-23 22:04,Juniore,Ouh là là,104306
8941,2023-11-23 22:07,Vendredi sur Mer,Encore,196626
8942,2023-11-23 22:08,Sexy Sushi,A Bien Regarder ; Rachida,1200
8943,2023-11-23 22:08,Johan Papaconstantino,Iris œil,105938
8944,2023-11-23 22:09,Yoa,yt boy,0
8945,2023-11-23 22:09,Potochkine,Fleurs D'Hypnose,880
8946,2023-11-23 22:09,ascendant vierge,Petit Soldat,5820
8947,2023-11-23 22:10,Yoa,yt boy,2320
8948,2023-11-23 22:10,Potochkine,Fleurs D'Hypnose,71570
8949,2023-11-23 22:10,Muddy Monk,Mylenium,1080
8950,2023-11-23 22:10,Sexy Sushi,Non c'est définitif - Herr Silver Version,2960
8951,2023-11-23 22:10,Genoux Vener,Grand Coeur de Pierre,2920
8952,2023-11-23 22:12,Sexy Sushi,Rien à foutre,910
8953,2023-11-23 22:12,Régina Demina,Pyromane,101600
8954,2023-11-23 22:12,Gargäntua,La mort avec toi,4140
8955,2023-11-23 22:12,KALIKA,Chaudasse,4280
8956,2023-11-23 22:12,Stupeflip,Etranges phénomènes,940
8957,2023-11-23 22:16,Alice et Moi,J'veux sortir avec un rappeur,210360
8958,2023-11-23 22:19,Mansfield.TYA,Bleu lagon,1470
8959,2023-11-23 22:19,ascendant vierge,Lubies,179235
8960,2023-11-23 22:20,Sexy Sushi,Retour de bâton - Fräulein Warrior Version Sereine,97560
8961,2023-11-23 22:21,Didier Super,Vive l'armée de terre,32650
8962,2023-11-23 22:21,Bolivard,Bolivard News,15010
8963,2023-11-23 22:21,Les clopes,Je fume des clopes dans un blockhaus noir parce que je suis déprimé,9700
8964,2023-11-23 22:23,Bolivard,Bolivard News,11310
8965,2023-11-23 22:23,Bolivard,Bolivard News,112125
8966,2023-11-23 22:24,Bolivard,Je danse,65770
8967,2023-11-23 22:25,ascendant vierge,Influenceur,2710
8968,2023-11-23 22:28,Nils Handz,l'Homme Alone,210870
8969,2023-11-23 22:31,Bolivard,Je danse,178145
8970,2023-11-23 22:32,Bolivard,Psychoville,13820
8971,2023-11-23 22:32,Bolivard,Psychopathe,55204
8972,2023-11-23 22:35,Miel De Montagne,Le Tuto,184230
8973,2023-11-23 22:38,New Order,Blue Monday,170360
8974,2023-11-24 11:01,Favé,VIBES,134440
8975,2023-11-24 11:03,Mr GISCARD,JVP,169760
8976,2023-11-24 11:06,Juliette Armanet,Petite Amie,192626
8977,2023-11-24 11:11,Juliette Armanet,Sauver Ma Vie,263440
8978,2023-11-24 11:13,Favé,DERNIERE CHANCE,146713
8979,2023-11-24 12:28,Favé,DERNIERE CHANCE,226666
8980,2023-11-24 12:40,Juliette Armanet,L’amour en Solitaire,175226
8981,2023-11-24 12:43,Emma Peters,Le temps passe - Rework,178973
8982,2023-11-24 12:47,Juliette Armanet,L'Indien,211573
8983,2023-11-24 12:48,roland decembre,Succès fou,55052
8984,2023-11-24 12:48,Juliette Armanet,Je ne pense qu'à ça,1010
8985,2023-11-24 12:51,ascendant vierge,Influenceur,211559
8986,2023-11-24 12:54,Mr GISCARD,Carla,155800
8987,2023-11-24 12:54,Bolivard,Je danse,31831
8988,2023-11-24 12:56,Favé,VIBES,134440
8989,2023-11-24 12:59,Nils Handz,l'Homme Alone,161305
8990,2023-11-24 13:02,Sexy Sushi,Princesse voiture,169493
8991,2023-11-24 13:04,La Femme,Si un jour,158413
8992,2023-11-24 13:06,Alice et Moi,Je n'ai rien à faire,96639
8993,2023-11-24 13:09,ascendant vierge,Aimer sur le long terme,205720
8994,2023-11-24 13:15,Nils Handz,l'Homme Alone,25396
8995,2023-11-24 16:46,Sexy Sushi,Petit PD,1180
8996,2023-11-24 16:46,Stupeflip,Tellement bon,2740
8997,2023-11-24 16:46,Nils Handz,l'Homme Alone,193460
8998,2023-11-24 16:46,Vendredi sur Mer,Chewing-Gum,1820
8999,2023-11-24 16:46,Order89,Histoires Parallèles,740
9000,2023-11-24 16:46,ascendant vierge,Influenceur,12970
9001,2023-11-24 16:48,Favé,Urus,147788
9002,2023-11-24 16:49,Niska,Jota,51687
9003,2023-11-24 16:51,Favé,VIBES,134440
9004,2023-11-24 16:52,roland decembre,Succès fou,27305
9005,2023-11-24 17:01,Favé,DERNIERE CHANCE,226666
9006,2023-11-24 17:04,Juliette Armanet,L’amour en Solitaire,175226
9007,2023-11-24 17:05,Phoenix,If I Ever Feel Better,103658
9008,2023-11-24 17:09,Juliette Armanet,L’Épine,177306
9009,2023-11-24 17:12,Leo Roi,Xanax,186409
9010,2023-11-24 17:18,Clara Luciani,Les fleurs,180413
9011,2023-11-24 17:21,Niska,Jota,164133
9012,2023-11-24 17:23,Mr GISCARD,Carla,155800
9013,2023-11-24 17:28,Phoenix,If I Ever Feel Better,266600
9014,2023-11-24 17:30,Favé,VIBES,134440
9015,2023-11-24 17:33,Dusty Springfield,Spooky,164173
9016,2023-11-24 17:36,Juliette Armanet,L’amour en Solitaire,175226
9017,2023-11-24 17:39,ascendant vierge,Influenceur,211559
9018,2023-11-24 17:42,Favé,Mode Avion,153246
9019,2023-11-24 17:42,ABBA,Under Attack,19624
9020,2023-11-24 17:45,Juliette Armanet,Petite Amie,192626
9021,2023-11-24 17:48,Favé,GMAIL,179973
9022,2023-11-24 17:51,Clara Luciani,Nue,184077
9023,2023-11-24 17:57,Valentino Vivace,L'equilibrio,275692
