listener,trackID,msPlayed
Ambre,T740,1233303
Ambre,T741,215306
Ambre,T742,220235
Ambre,T743,206587
Ambre,T744,686536
Ambre,T745,378666
Ambre,T746,1048759
Ambre,T747,1690830
Ambre,T2582,1690830
Ambre,T748,513111
Ambre,T4631,513111
Ambre,T749,2064292
Ambre,T750,1505034
Ambre,T751,2800037
Ambre,T752,376120
Ambre,T753,180020
Fanny,T745,260763
Fanny,T751,4025981
Ambre,T754,216391
Ambre,T755,434612
Arnaud,T755,1091887
Ambre,T756,210106
Ambre,T757,1209600
Ambre,T758,408510
Ambre,T759,543033
Ambre,T760,2453758
Ambre,T761,453423
Ambre,T762,1846831
Ambre,T763,1385004
Ambre,T764,5754556
Ambre,T765,535812
Fanny,T757,348662
Fanny,T758,616705
Fanny,T766,253898
Fanny,T760,4838972
Fanny,T762,12034469
Fanny,T767,374749
Fanny,T768,685769
Fanny,T764,550430
Ambre,T769,226677
Fanny,T770,856320
Fanny,T769,15172861
Fanny,T771,287775
Fanny,T782,287775
Fanny,T772,277152
Fanny,T773,15483461
Fanny,T774,226436
Fanny,T775,186570
Fanny,T776,885152
Fanny,T777,14603472
Fanny,T778,263790
Fanny,T779,36272628
Fanny,T780,33860304
Fanny,T781,417406
Olivier,T771,704480
Olivier,T782,704480
Ambre,T783,198053
Fanny,T783,501362
Olivier,T784,6727763
Ambre,T785,207262
Ambre,T786,349332
Ambre,T787,275928
Ambre,T788,379216
Ambre,T789,238499
Ambre,T790,359276
Ambre,T791,862500
Ambre,T792,260827
Ambre,T793,287308
Ambre,T794,258946
Ambre,T795,309868
Ambre,T2702,309868
Ambre,T796,385611
Ambre,T797,450000
Ambre,T798,234213
Ambre,T799,223346
Ambre,T800,221786
Ambre,T4461,221786
Arnaud,T801,227533
Arnaud,T802,909838
Arnaud,T803,555177
Arnaud,T804,2234008
Arnaud,T805,1528504
Arnaud,T806,449884
Elwin,T807,231267
Elwin,T802,1994493
Elwin,T808,217196
Elwin,T809,220293
Elwin,T810,230868
Elwin,T811,190260
Elwin,T812,567873
Elwin,T803,7977313
Elwin,T813,3321297
Elwin,T805,481436
Elwin,T814,639878
Elwin,T815,544194
Fanny,T808,2313106
Fanny,T805,1317567
Olivier,T813,15560883
Olivier,T816,578930
Olivier,T806,747445
Olivier,T803,30268092
Olivier,T817,200402
Ambre,T818,289160
Ambre,T819,230413
Ambre,T820,280519
Elwin,T821,230206
Ambre,T822,232682
Ambre,T823,238079
Ambre,T824,225605
Ambre,T825,628222
Ambre,T826,236654
Ambre,T827,197333
Ambre,T828,234661
Ambre,T829,379150
Ambre,T830,215386
Elwin,T830,215386
Ambre,T831,199506
Ambre,T832,585807
Ambre,T833,351000
Ambre,T834,285586
Ambre,T835,529043
Ambre,T836,221080
Ambre,T837,223909
Ambre,T838,1168349
Ambre,T839,304072
Ambre,T840,806977
Ambre,T841,525042
Olivier,T838,5650877
Ambre,T842,477000
Ambre,T843,240213
Elwin,T843,241319
Elwin,T844,966504
Ambre,T845,423813
Ambre,T846,261640
Ambre,T847,516120
Elwin,T848,355472
Elwin,T849,189638
Fanny,T850,215459
Fanny,T851,278281
Fanny,T852,210372
Fanny,T853,224472
Fanny,T854,453981
Fanny,T861,453981
Fanny,T845,878609
Fanny,T855,216910
Fanny,T856,182118
Fanny,T857,254319
Fanny,T858,368758
Olivier,T859,1418218
Olivier,T860,737335
Olivier,T854,450778
Olivier,T861,450778
Olivier,T862,492437
Olivier,T863,717403
Olivier,T864,192708
Olivier,T865,3642329
Olivier,T866,1002895
Ambre,T867,1163289
Fanny,T868,212428
Ambre,T869,202613
Arnaud,T869,184541
Arnaud,T870,623875
Elwin,T871,202390
Elwin,T869,213639
Ambre,T872,359550
Ambre,T873,204845
Ambre,T874,855922
Ambre,T2799,855922
Ambre,T5299,855922
Ambre,T875,230248
Ambre,T876,291400
Arnaud,T876,333636
Fanny,T877,582800
Fanny,T878,404880
Fanny,T879,5388595
Ambre,T880,343041
Ambre,T881,214536
Olivier,T882,1760173
Ambre,T883,331675
Ambre,T884,543717
Ambre,T885,295615
Ambre,T886,219269
Ambre,T887,187398
Ambre,T888,184988
Ambre,T889,209638
Ambre,T890,305429
Ambre,T4252,305429
Ambre,T891,259000
Ambre,T892,260986
Ambre,T893,233880
Ambre,T894,205040
Ambre,T895,632205
Arnaud,T892,525744
Arnaud,T894,410080
Elwin,T895,195641
Fanny,T895,2741345
Ambre,T896,187057
Ambre,T897,580329
Ambre,T898,192000
Ambre,T899,188080
Arnaud,T900,275817
Arnaud,T901,554947
Arnaud,T898,193497
Arnaud,T902,245692
Arnaud,T903,456732
Elwin,T904,201816
Elwin,T897,218192
Olivier,T905,476201
Ambre,T906,307202
Ambre,T907,364532
Ambre,T908,198649
Ambre,T909,5143321
Fanny,T909,494807
Ambre,T910,354668
Ambre,T911,364305
Arnaud,T912,184982
Arnaud,T913,185500
Olivier,T914,286000
Ambre,T915,1170917
Arnaud,T916,218002
Arnaud,T917,305666
Ambre,T918,603438
Ambre,T919,454460
Ambre,T920,861474
Ambre,T6373,861474
Ambre,T921,222413
Ambre,T922,313363
Ambre,T923,189133
Ambre,T924,222717
Ambre,T925,283800
Ambre,T2864,283800
Ambre,T926,265866
Ambre,T927,216000
Fanny,T927,216000
Ambre,T928,436872
Ambre,T929,203798
Ambre,T930,1845962
Arnaud,T931,1231321
Arnaud,T1599,1231321
Olivier,T931,326934
Olivier,T1599,326934
Ambre,T932,216789
Olivier,T933,1816227
Olivier,T934,446706
Ambre,T935,183306
Ambre,T936,482255
Ambre,T937,418014
Ambre,T938,196173
Ambre,T939,239215
Ambre,T940,200866
Arnaud,T941,678105
Arnaud,T942,334454
Arnaud,T943,205370
Arnaud,T944,1458487
Arnaud,T945,438176
Arnaud,T946,217320
Arnaud,T947,200186
Arnaud,T948,346400
Arnaud,T949,199650
Arnaud,T950,313315
Arnaud,T963,313315
Arnaud,T951,468486
Arnaud,T952,320118
Arnaud,T953,1334241
Arnaud,T954,334686
Elwin,T936,217024
Fanny,T941,3369297
Fanny,T955,1825111
Fanny,T935,366612
Fanny,T946,217320
Fanny,T956,2407357
Fanny,T957,448598
Fanny,T951,3150802
Fanny,T958,461396
Fanny,T953,1054646
Fanny,T959,407387
Fanny,T960,277704
Fanny,T961,2975523
Fanny,T962,197591
Olivier,T950,611012
Olivier,T963,611012
Ambre,T964,223591
Ambre,T965,182403
Ambre,T966,1292915
Ambre,T967,602825
Ambre,T5072,602825
Ambre,T968,348918
Ambre,T969,444878
Fanny,T970,469201
Fanny,T971,1468398
Fanny,T972,180299
Fanny,T973,785495
Fanny,T969,920221
Ambre,T974,274558
Ambre,T975,326000
Ambre,T2267,326000
Ambre,T976,285363
Ambre,T977,355713
Ambre,T978,289653
Ambre,T979,281961
Ambre,T980,381864
Ambre,T981,248705
Ambre,T982,789789
Ambre,T983,337614
Elwin,T984,623022
Fanny,T982,602630
Olivier,T985,223094
Olivier,T984,4920284
Ambre,T986,504000
Ambre,T987,367058
Ambre,T988,183738
Elwin,T988,1076128
Olivier,T988,183739
Ambre,T989,529359
Ambre,T990,498780
Ambre,T991,387840
Ambre,T992,487338
Ambre,T993,410283
Ambre,T994,774244
Ambre,T995,408888
Ambre,T996,630708
Ambre,T1666,630708
Ambre,T997,226626
Arnaud,T998,182541
Arnaud,T999,875656
Arnaud,T994,388406
Arnaud,T1000,219753
Arnaud,T1001,233035
Arnaud,T1002,252075
Ambre,T1003,180281
Arnaud,T1004,207187
Arnaud,T1005,386666
Ambre,T1006,366614
